index0	terrace	bedrooms	construction_year	date_month	date_year	date_year_month	floor	rooms	price_room	price_surface	price	scout_id	surface	url	zip
12	yes	NAN	NAN	9	2017	2017_09	NAN	4	45000.0	1500.0	180000	99188074	120	http://www.immobilienscout24.de/expose/99188074	81477
13	yes	2	2010	9	2017	2017_09	ground floor	4	0.0	0.0	0	95117438	160	http://www.immobilienscout24.de/expose/95117438	80333
14	yes	NAN	1976	9	2017	2017_09	NAN	5	50000.0	NAN	250000	98976207	NAN	http://www.immobilienscout24.de/expose/98976207	80686
0	yes	NAN	1983	10	2017	2017_10	up floor	4	122250.0	NAN	489000	99707649	NAN	http://www.immobilienscout24.de/expose/99707649	82110
1	yes	NAN	1991	10	2017	2017_10	up floor	4	125000.0	4672.897196261682	500000	99621949	107	http://www.immobilienscout24.de/expose/99621949	85221
2	yes	2	1962	10	2017	2017_10	up floor	4	118750.0	4947.916666666667	475000	99620593	96	http://www.immobilienscout24.de/expose/99620593	80686
3	yes	3	NAN	10	2017	2017_10	ground floor	4	111250.0	NAN	445000	99515352	NAN	http://www.immobilienscout24.de/expose/99515352	85622
4	yes	3	1962	10	2017	2017_10	up floor	4	120000.0	5106.382978723404	480000	99449866	94	http://www.immobilienscout24.de/expose/99449866	81673
5	yes	NAN	1953	10	2017	2017_10	up floor	4	111250.0	NAN	445000	99425432	NAN	http://www.immobilienscout24.de/expose/99425432	80687
6	yes	3	1967	10	2017	2017_10	up floor	4	125000.0	NAN	500000	99403496	NAN	http://www.immobilienscout24.de/expose/99403496	80997
7	yes	NAN	1967	10	2017	2017_10	NAN	4	90000.0	NAN	360000	99342547	NAN	http://www.immobilienscout24.de/expose/99342547	81927
8	yes	3	1972	10	2017	2017_10	up floor	4	112500.0	4591.836734693878	450000	99327901	98	http://www.immobilienscout24.de/expose/99327901	85757
9	yes	3	1964	10	2017	2017_10	up floor	4	96250.0	4812.5	385000	99294788	80	http://www.immobilienscout24.de/expose/99294788	81243
10	yes	3	1995	10	2017	2017_10	up floor	5	59000.0	2681.818181818182	295000	99486555	110	http://www.immobilienscout24.de/expose/99486555	85235
0	yes	3	2017	10	2017	2017_10	NAN	4	120750.0	6355.263157894737	483000	96133239	76	http://www.immobilienscout24.de/expose/96133239	85757
1	yes	3	1967	10	2017	2017_10	up floor	4	115000.0	4791.666666666667	460000	100384218	96	http://www.immobilienscout24.de/expose/100384218	85221
2	yes	NAN	1969	10	2017	2017_10	up floor	4	118750.0	5219.780219780219	475000	100383216	91	http://www.immobilienscout24.de/expose/100383216	82131
3	yes	3	1969	10	2017	2017_10	NAN	4	107500.0	NAN	430000	100378882	NAN	http://www.immobilienscout24.de/expose/100378882	80995
4	yes	NAN	1973	10	2017	2017_10	up floor	4	92275.0	4242.528735632184	369100	100376465	87	http://www.immobilienscout24.de/expose/100376465	81737
5	yes	3	1970	10	2017	2017_10	up floor	NAN	NAN	4583.333333333333	495000	100368965	108	http://www.immobilienscout24.de/expose/100368965	82152
6	yes	NAN	1953	10	2017	2017_10	NAN	4	121250.0	6554.054054054054	485000	100349756	74	http://www.immobilienscout24.de/expose/100349756	80687
7	yes	3	1978	10	2017	2017_10	up floor	4	98750.0	NAN	395000	100316534	NAN	http://www.immobilienscout24.de/expose/100316534	82152
8	yes	3	1978	10	2017	2017_10	up floor	4	122500.0	4083.3333333333335	490000	100279679	120	http://www.immobilienscout24.de/expose/100279679	81477
9	yes	NAN	1988	10	2017	2017_10	up floor	4	99750.0	4534.090909090909	399000	100258811	88	http://www.immobilienscout24.de/expose/100258811	82178
10	yes	NAN	1969	10	2017	2017_10	up floor	4	122250.0	5620.689655172414	489000	99965783	87	http://www.immobilienscout24.de/expose/99965783	82008
11	yes	NAN	1972	10	2017	2017_10	NAN	4	68750.0	2594.3396226415093	275000	99942834	106	http://www.immobilienscout24.de/expose/99942834	85716
12	yes	2	1960	10	2017	2017_10	up floor	4	112500.0	4245.2830188679245	450000	99930661	106	http://www.immobilienscout24.de/expose/99930661	80897
13	yes	3	1971	10	2017	2017_10	up floor	4	94750.0	NAN	379000	99903150	NAN	http://www.immobilienscout24.de/expose/99903150	85757
14	yes	NAN	NAN	10	2017	2017_10	up floor	4	117250.0	NAN	469000	99870343	NAN	http://www.immobilienscout24.de/expose/99870343	81739
15	yes	NAN	2001	10	2017	2017_10	up floor	4	118750.0	4702.970297029703	475000	99738137	101	http://www.immobilienscout24.de/expose/99738137	81829
16	yes	3	1972	10	2017	2017_10	up floor	4	123750.0	5625.0	495000	99079872	88	http://www.immobilienscout24.de/expose/99079872	81735
17	yes	2	1996	10	2017	2017_10	up floor	4	0.0	0.0	0	95730165	134	http://www.immobilienscout24.de/expose/95730165	81247
0	yes	3	1968	11	2017	2017_11	ground floor	4	123750.0	NAN	495000	NAN	NAN	http://www.immobilienscout24.de/expose/101071603	81735
1	yes	2	1993	11	2017	2017_11	ground floor	4	99500.0	3235.7723577235774	398000	NAN	123	http://www.immobilienscout24.de/expose/101062212	82131
2	yes	2	1989	11	2017	2017_11	ground floor	4	122375.0	5691.860465116279	489500	NAN	86	http://www.immobilienscout24.de/expose/100906677	81739
3	yes	NAN	1968	11	2017	2017_11	up floor	4	112500.0	5232.558139534884	450000	NAN	86	http://www.immobilienscout24.de/expose/100847071	80992
4	yes	1	1972	11	2017	2017_11	up floor	4	117087.5	5782.098765432099	468350	NAN	81	http://www.immobilienscout24.de/expose/100755545	81379
5	yes	NAN	1971	11	2017	2017_11	up floor	4	122500.0	NAN	490000	NAN	NAN	http://www.immobilienscout24.de/expose/100749372	81735
6	yes	3	1998	11	2017	2017_11	up floor	4	105250.0	NAN	421000	NAN	NAN	http://www.immobilienscout24.de/expose/99062633	80997
7	yes	NAN	1963	11	2017	2017_11	up floor	4	94500.0	4247.191011235955	378000	NAN	89	http://www.immobilienscout24.de/expose/100149359	85221
8	yes	NAN	1970	11	2017	2017_11	up floor	4	124500.0	5354.8387096774195	498000	NAN	93	http://www.immobilienscout24.de/expose/100661883	85764
9	yes	NAN	1977	11	2017	2017_11	up floor	4	92000.0	3607.843137254902	368000	NAN	102	http://www.immobilienscout24.de/expose/100605101	82110
10	yes	3	1972	11	2017	2017_11	up floor	4	123750.0	4024.390243902439	495000	NAN	123	http://www.immobilienscout24.de/expose/100489091	80809
11	yes	3	1966	11	2017	2017_11	NAN	4	119750.0	NAN	479000	NAN	NAN	http://www.immobilienscout24.de/expose/100488717	80935
12	yes	3	1955	11	2017	2017_11	up floor	4	121250.0	7132.35294117647	485000	NAN	68	http://www.immobilienscout24.de/expose/100624792	80634
13	yes	NAN	1971	11	2017	2017_11	up floor	4	123750.0	NAN	495000	NAN	NAN	http://www.immobilienscout24.de/expose/99070754	81241
14	yes	3	1966	11	2017	2017_11	up floor	4	124700.0	4661.682242990654	498800	NAN	107	http://www.immobilienscout24.de/expose/100341267	81497
0	yes	NAN	1964	12	2017	2017_12	up floor	4	113750.0	NAN	455000	NAN	NAN	http://www.immobilienscout24.de/expose/101353767	82110
1	yes	2	1989	12	2017	2017_12	ground floor	4	110000.0	5116.279069767442	440000	NAN	86	http://www.immobilienscout24.de/expose/101293148	81739
2	yes	2	1961	12	2017	2017_12	ground floor	4	100000.0	NAN	400000	NAN	NAN	http://www.immobilienscout24.de/expose/101276347	80933
3	yes	1	1970	12	2017	2017_12	up floor	4	116250.0	NAN	465000	NAN	NAN	http://www.immobilienscout24.de/expose/101180627	81735
4	yes	NAN	2013	12	2017	2017_12	up floor	7	0.0	0.0	0	NAN	255	http://www.immobilienscout24.de/expose/101068186	81245
